Timestamp,Coolant Temp,Engine RPM,Throttle Pos,Engine Load,Speed,Fuel Level,Intake Temp,Ambient Temp
15:51:16,84 °C,750.5 ,12.9 %,28.2 %,0.0 km/h,82.4 %,61 °C,58 °C
15:51:18,84 °C,752.0 ,12.9 %,28.2 %,0.0 km/h,82.4 %,61 °C,58 °C
15:51:20,84 °C,750.5 ,12.9 %,28.6 %,0.0 km/h,82.4 %,61 °C,58 °C
15:51:22,84 °C,760.5 ,13.3 %,29.8 %,0.0 km/h,82.4 %,61 °C,58 °C
15:51:24,84 °C,750.0 ,12.9 %,29.8 %,0.0 km/h,82.4 %,61 °C,58 °C
15:51:26,84 °C,748.0 ,13.3 %,29.8 %,0.0 km/h,82.4 %,61 °C,58 °C
